instance,n_nodes,ilp2_status,ilp2_length,ilp2_time_s,skewgram_raw_length,skewgram_DG_consistent_length,skewgram_time_s,speedup_vs_ilp2,gap_pct_vs_ilp2
100_1,100,not_found,,0.4958,9,9,0.6779863834381104,0.7312831232476498,
100_121,100,found,6.0,19.5942,6,6,0.7405297756195068,26.459705801306953,0.0
100_128,100,found,13.0,18.4449,8,8,1.008915662765503,18.28190470295737,-38.46153846153846
100_14,100,found,12.0,8.5074,9,9,0.8325040340423584,10.219049580686042,-25.0
100_18,100,found,8.0,27.5516,6,6,0.728003978729248,37.84539755962888,-25.0
100_190,100,found,11.0,25.4447,11,11,0.8250279426574707,30.841016024306892,0.0
100_193,100,found,14.0,14.5339,9,9,0.812920093536377,17.878632986883634,-35.714285714285715
100_197,100,found,11.0,19.7299,9,9,0.7528979778289795,26.20527691798588,-18.181818181818183
100_201,100,found,12.0,22.1245,8,8,0.8476977348327637,26.099515299949207,-33.333333333333336
100_207,100,found,7.0,32.749,6,6,0.9180243015289307,35.6733475850889,-14.285714285714286
100_227,100,found,10.0,27.0768,6,6,0.7857210636138916,34.46108454247284,-40.0
100_228,100,found,8.0,28.753,7,7,0.8083388805389404,35.57047754628558,-12.5
100_251,100,found,11.0,51.4017,9,9,0.8478634357452393,60.62497547711783,-18.181818181818183
100_254,100,found,7.0,22.7026,7,7,0.7012498378753662,32.37448163807626,0.0
100_269,100,found,13.0,17.0035,6,6,0.9628410339355469,17.659716817945903,-53.84615384615385
100_304,100,found,9.0,14.9537,6,6,1.0399909019470215,14.37868347886928,-33.333333333333336
100_320,100,found,12.0,33.9114,8,8,0.8501923084259033,39.886740522018584,-33.333333333333336
100_324,100,found,8.0,28.5909,6,6,0.9167404174804688,31.1875635183382,-25.0
100_332,100,found,11.0,12.5968,6,6,0.7578129768371582,16.622570983904975,-45.45454545454545
100_341,100,found,9.0,27.6765,5,5,0.9395742416381836,29.456426936252495,-44.44444444444444
100_352,100,found,14.0,62.8609,7,7,0.9627175331115723,65.29526869301846,-50.0
100_388,100,found,15.0,58.1798,8,8,0.8156678676605225,71.32780670503767,-46.666666666666664
100_397,100,found,6.0,37.2064,6,6,0.837787389755249,44.41031275353699,0.0
100_402,100,found,11.0,13.1596,11,11,0.8428158760070801,15.613849210274548,0.0
100_411,100,found,6.0,48.4279,5,5,0.7861990928649902,61.59750175178117,-16.666666666666668
100_413,100,found,8.0,61.73,6,6,0.7267775535583496,84.93658024765067,-25.0
100_429,100,found,8.0,20.0068,5,5,0.8318126201629639,24.05205152583569,-37.5
100_437,100,found,8.0,24.4044,4,4,0.9919025897979736,24.6036256493398,-50.0
100_457,100,found,10.0,22.9146,8,8,0.756281852722168,30.299021347029516,-20.0
100_471,100,found,14.0,31.0732,8,8,0.8120925426483154,38.26312688288846,-42.857142857142854
100_478,100,found,10.0,25.5266,6,6,0.809567928314209,31.531140386397112,-40.0
100_489,100,found,7.0,46.6681,7,7,0.7523252964019775,62.031810206558056,0.0
100_491,100,found,7.0,18.6073,6,6,0.770484447479248,24.150130558606975,-14.285714285714286
100_52,100,found,6.0,24.7084,6,6,0.9437651634216309,26.18066544268219,0.0
100_527,100,found,11.0,15.8287,4,4,0.96748948097229,16.360591315259324,-63.63636363636363
100_563,100,not_found,,3.4998,8,8,0.6280970573425293,5.572068773586696,
100_66,100,found,16.0,9.9809,9,9,0.9287459850311279,10.746641343128369,-43.75
100_80,100,found,10.0,34.6392,6,6,0.8200452327728271,42.24059675693026,-40.0
